source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,ROPA,RDEP,RMED,DTS,DTC,NPHI,PEF,GR,RHOB,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,413.0344,,,,36.0,3.9965360165,,,,,,,14.324095726,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,413.1864,,,,36.0,4.0254158974,,,,,,,14.463835716,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,413.3384,,,,36.0,4.0542960167,,,,,,,13.588280678,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,413.4904,,,,36.0,4.083176136,,,,,,,12.687242508,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,413.6424,,,,36.0,4.1120557785,,,,,,,12.439426422,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,413.7944,,,,36.0,4.1409358978,,,,,,,12.473152161,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,413.9464,,,,36.0,4.1698160172,,,,,,,12.425435066,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,414.0984,,,,36.0,4.2970957756,,,,,,,12.097510338,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,414.2504,,,,36.0,4.4779758453,,,,,,,12.169477463,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,414.4024,,,,36.0,4.6588559151,,,,,,,11.749117851,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,414.5544,,,,36.0,4.8397359848,,,,,,,12.025510788,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,414.7064,,,,36.0,5.0206160545,,,,,,,12.468619347,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,414.8584,,,,36.0,5.2014956474,,,,,,,12.65041256,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,415.0104,,,,36.0,5.3974556923,,,,,,,12.57378006,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,415.1624,,,,36.0,5.7987360954,,,,,,,12.215590477,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,415.3144,,,,36.0,6.2000160217,,,,,,,12.295495033,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,415.4664,,,,36.0,6.601295948,,,,,,,11.608612061,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,415.6184,,,,36.0,7.0025758743,,,,,,,11.228133202,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,415.7704,,,,36.0,7.4038562775,,,,,,,11.096067429,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,415.9224,,,,36.0,7.8051362038,,,,,,,12.252985001,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,416.0744,,,,36.0,7.7347202301,,,,,,,12.749256134,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,416.2264,,,,36.0,7.1723203659,,,,,,,12.347576141,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,416.3784,,,,36.0,6.6099200249,,,,,,,11.520385742,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,416.5304,,,,36.0,6.0475201607,,,,,,,11.59852314,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,416.6824,,,,36.0,5.4851198196,,,,,,,12.264983177,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,416.8344,,,,36.0,4.9227199554,,,,,,,11.958524704,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,416.9864,,,,36.0,4.3603200912,,,,,,,12.302329063,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,417.1384,,,,36.0,4.3971920013,,,,,,,12.888467789,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,417.2904,,,,36.0,4.49295187,,,,,,,13.917995453,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,417.4424,,,,36.0,4.5887122154,,,,,,,13.896586418,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,417.5944,,,,36.0,4.684472084,,,,,,,12.79941082,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,417.7464,,,,36.0,4.7802319527,,,,,,,11.527780533,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,417.8984,,,,36.0,4.8759918213,,,,,,,11.124313354,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,418.0504,,,,36.0,5.1360559464,,,,,,,12.296487808,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,418.2024,,,,36.0,5.7273359299,,,,,,,14.258051872,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,418.3544,,,,36.0,6.3186159134,,,,,,,14.943619728,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,418.5064,,,,36.0,6.9098958969,,,,,,,14.084300995,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,418.6584,,,,36.0,7.5011758804,,,,,,,12.518931389,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,418.8104,,,,36.0,8.092455864,,,,,,,12.245931625,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,418.9624,,,,36.0,8.6837358475,,,,,,,12.311535835,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,419.1144,,,,36.0,8.9524078369,,,,,,,12.745527267,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,419.2664,,,,36.0,9.1150474548,,,,,,,12.33573246,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,419.4184,,,,36.0,9.2776880264,,,,,,,12.949213982,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,419.5704,,,,36.0,9.4403276443,,,,,,,13.812409401,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,419.7224,,,,36.0,9.6029672623,,,,,,,14.763213158,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,419.8744,,,,36.0,9.7656078339,,,,,,,14.019637108,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,420.0264,,,,36.0,9.8361120224,,,,,,,13.181782722,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,420.1784,,,,36.0,9.4682712555,,,,,,,12.855625153,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,420.3304,,,,36.0,9.1004314423,,,,,,,13.163825989,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,420.4824,,,,36.0,8.732591629,,,,,,,13.852399826,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,420.6344,,,,36.0,8.3647518158,,,,,,,13.824885368,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,420.7864,,,,36.0,7.9969120026,,,,,,,13.870816231,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,420.9384,,,,36.0,7.6290721893,,,,,,,13.209870338,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,421.0904,,,,36.0,7.3877921104,,,,,,,12.821286201,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,421.2424,,,,36.0,7.2327518463,,,,,,,12.74625206,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,421.3944,,,,36.0,7.077712059,,,,,,,13.146791458,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,421.5464,,,,36.0,6.9226717949,,,,,,,13.066697121,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,421.6984,,,,36.0,6.7676320076,,,,,,,13.053058624,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,421.8504,,,,36.0,6.6125922203,,,,,,,13.104510307,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,422.0024,,,,36.0,6.4808320999,,,,,,,13.946994781,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,422.1544,,,,36.0,7.8001918793,,,,,,,14.046597481,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,422.3064,,,,36.0,9.1195516586,,,,,,,13.236718178,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,422.4584,,,,36.0,10.438912392,,,,,,,12.358653069,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,422.6104,,,,36.0,11.758272171,,,,,,,11.721626282,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,422.7624,,,,36.0,13.07763195,,,,,,,11.403564453,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,422.9144,,,,36.0,14.396992683,,,,,,,11.213198662,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,423.0664,,,,36.0,14.841199875,,,,,,,11.251887321,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,423.2184,,,,36.0,14.157200813,,,,,,,11.966631889,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,423.3704,,,,36.0,13.473200798,,,,,,,11.867622375,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,423.5224,,,,36.0,12.789200783,,,,,,,11.639961243,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,423.6744,,,,36.0,12.105200768,,,,,,,11.878562927,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,423.8264,,,,36.0,11.421200752,,,,,,,10.944740295,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,423.9784,,,,36.0,10.737200737,,,,,,,10.725161552,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,424.1304,,,,36.0,10.6295681,,,,,,,9.4960412979,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,424.2824,,,,36.0,10.617408752,,,,,,,10.758025169,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,424.4344,,,,36.0,10.605248451,,,,,,,12.235832214,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,424.5864,,,,36.0,10.59308815,,,,,,,13.130218506,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,424.7384,,,,36.0,10.580928802,,,,,,,12.550757408,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,424.8904,,,,36.0,10.568768501,,,,,,,11.745030403,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,425.0424,,,,36.0,10.53625679,,,,,,,11.973396301,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,425.1944,,,,36.0,10.451136589,,,,,,,12.758208275,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,425.3464,,,,36.0,10.366016388,,,,,,,13.258625031,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,425.4984,,,,36.0,10.280896187,,,,,,,13.037707329,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,425.6504,,,,36.0,10.195775986,,,,,,,11.785234451,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,425.8024,,,,36.0,10.110655785,,,,,,,11.376977921,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,425.9544,,,,36.0,10.025535583,,,,,,,11.228136063,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,426.1064,,,,36.0,10.505399704,,,,,,,11.478291512,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,426.2584,,,,36.0,11.227399826,,,,,,,11.402166367,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,426.4104,,,,36.0,11.949399948,,,,,,,12.868906975,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,426.5624,,,,36.0,12.67140007,,,,,,,14.060460091,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,426.7144,,,,36.0,13.393400192,,,,,,,14.560042381,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,426.8664,,,,36.0,14.115400314,,,,,,,12.814590454,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,427.0184,,,,36.0,14.72129631,,,,,,,12.968067169,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,427.1704,,,,36.0,14.484175682,,,,,,,12.385084152,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,427.3224,,,,36.0,14.247056007,,,,,,,13.266773224,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,427.4744,,,,36.0,14.009935379,,,,,,,12.417224884,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,427.6264,,,,36.0,13.772815704,,,,,,,12.772706032,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,427.7784,,,,36.0,13.53569603,,,,,,,11.91480732,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,427.9304,,,,36.0,13.298575401,,,,,,,12.132710457,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,428.0824,,,,36.0,13.559151649,,,,,,,12.72533989,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,428.2344,,,,36.0,14.240111351,,,,,,,13.814220428,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,428.3864,,,,36.0,14.921072006,,,,,,,13.799436569,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,428.5384,,,,36.0,15.602031708,,,,,,,13.402552605,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,428.6904,,,,36.0,16.282991409,,,,,,,13.290816307,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,428.8424,,,,36.0,16.963951111,,,,,,,12.934654236,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,428.9944,,,,36.0,17.64491272,,,,,,,12.957257271,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,429.1464,,,,36.0,16.927751541,,,,,,,13.055130005,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,429.2984,,,,36.0,16.157112122,,,,,,,12.228663445,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,429.4504,,,,36.0,15.386471748,,,,,,,11.04914093,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,429.6024,,,,36.0,14.615832329,,,,,,,11.129172325,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,429.7544,,,,36.0,13.845191956,,,,,,,12.645266533,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,429.9064,,,,36.0,13.074552536,,,,,,,12.879737854,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,430.0584,,,,36.0,12.76235199,,,,,,,12.058531761,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,430.2104,,,,36.0,13.184912682,,,,,,,11.166771889,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,430.3624,,,,36.0,13.60747242,,,,,,,12.047310829,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,430.5144,,,,36.0,14.030032158,,,,,,,12.62754631,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,430.6664,,,,36.0,14.452591896,,,,,,,12.813572884,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,430.8184,,,,36.0,14.875152588,,,,,,,13.132496834,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,430.9704,,,,36.0,15.297712326,,,,,,,12.525343895,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,431.1224,,,,36.0,15.220880508,,,,,,,12.757281303,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,431.2744,,,,36.0,15.023280144,,,,,,,12.808196068,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,431.4264,,,,36.0,14.825679779,,,,,,,13.14171505,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,431.5784,,,,36.0,14.628080368,,,,,,,13.05980587,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,431.7304,,,,36.0,14.430480003,,,,,,,12.582749367,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,431.8824,,,,36.0,14.232879639,,,,,,,13.194594383,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,432.0344,,,,36.0,14.141231537,,,,,,,13.84687233,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,432.1864,,,,36.0,14.411791801,,,,,,,13.991961479,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,432.3384,,,,36.0,14.682352066,,,,,,,13.660140038,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,432.4904,,,,36.0,14.952911377,,,,,,,13.623993874,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,432.6424,,,,36.0,15.223471642,,,,,,,14.442848206,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,432.7944,,,,36.0,15.494031906,,,,,,,14.424174309,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,432.9464,,,,36.0,15.764591217,,,,,,,14.459864616,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,433.0984,,,,36.0,15.697639465,,,,,,,14.169177055,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,433.2504,,,,36.0,15.446839333,,,,,,,13.757401466,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,433.4024,,,,36.0,15.196040154,,,,,,,13.99135685,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/34_6-1 S.las,34/6-1,433.5544,,,,36.0,14.945240021,,,,,,,12.974777222,,,,,
