source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,DCAL,MUDWEIGHT,ROP,RDEP,RSHA,RMED,RXO,RMIC,SP,DTS,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,277.2064,,,,9.875,,,55.959884644,2.6738941669,,2.6738941669,,,,,,,,58.703113556,,,277.20639038,463973.40625,6591327.5,-252.1910858
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,277.3584,,,,9.875,,,54.987041473,2.4445052147,,2.4445052147,,,,,,,,50.534866333,,,277.35839844,463973.40625,6591327.5,-252.3430481
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,277.5104,,,,9.875,,,56.833797455,2.2384345531,,2.2384345531,,,,,,,,46.468982697,,,277.51040649,463973.40625,6591327.5,-252.4950256
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,277.6624,,,,9.875,,,58.870635986,2.0339763165,,2.0339763165,,,,,,,,42.679073334,,,277.66241455,463973.40625,6591327.5,-252.6470032
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,277.8144,,,,9.875,,,58.556861877,1.7784166336,,1.7784166336,,,,,,,,41.853096008,,,277.81439209,463973.40625,6591327.5,-252.7989807
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,277.9664,,,,9.875,,,58.0704422,1.5191072226,,1.5191072226,,,,,,,,41.2447052,,,277.96640015,463973.40625,6591327.5,-252.950943
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,278.1184,,,,9.875,,,61.934867859,1.4907615185,,1.4907615185,,,,,,,,51.715747833,,,278.1184082,463973.40625,6591327.5,-253.1029358
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,278.2704,,,,9.875,,,66.145294189,1.4807879925,,1.4807879925,,,,,,,,63.06552124,,,278.27038574,463973.40625,6591327.5,-253.2548981
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,278.4224,,,,9.875,,,77.131843567,1.3743463755,,1.3743463755,,,,,,,,54.919567108,,,278.4223938,463973.40625,6591327.5,-253.4068756
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,278.5744,,,,9.875,,,88.699211121,1.259649992,,1.259649992,,,,,,,,45.105701447,,,278.57440186,463973.40625,6591327.5,-253.5588379
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,278.7264,,,,9.875,,,106.5584259,0.9942392111,,0.9942392111,,,,,,,,37.538879395,,,278.72640991,463973.40625,6591327.5,-253.7108154
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,278.8784,,,,9.875,,,124.99620819,0.7149828076,,0.7149828076,,,,,,,,30.17713356,,,278.87838745,463973.40625,6591327.5,-253.862793
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,279.0304,,,,9.875,,,110.17611694,0.7671900392,,0.7671900392,,,,,,,,28.775178909,,,279.03039551,463973.40625,6591327.5,-254.0147552
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,279.1824,,,,9.875,,,92.087913513,0.8519642949,,0.8519642949,,,,,,,,27.957355499,,,279.18240356,463973.40625,6591327.5,-254.166748
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,279.3344,,,,9.875,,,71.220184326,0.8645139337,,0.8645139337,,,,,,,,27.139533997,,,279.33441162,463973.40625,6591327.5,-254.3187103
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,279.4864,,,,9.875,,,50.061470032,0.8695016503,,0.8695016503,,,,,,,,26.321712494,,,279.48638916,463973.40625,6591327.5,-254.4707031
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,279.6384,,,,9.875,,,41.598041534,0.7757419348,,0.7757419348,,,,,,,,24.767780304,,,279.63839722,463973.40625,6591327.5,-254.6226654
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,279.7904,,,,9.875,,,34.545116425,0.6710208654,,0.6710208654,,,,,,,,23.132135391,,,279.79040527,463973.40625,6591327.5,-254.7746582
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,279.9424,,,,9.875,,,28.498699188,0.6153808236,,0.6153808236,,,,,,,,23.138511658,,,279.94241333,463973.40625,6591327.5,-254.9266205
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,280.0944,,,,9.875,,,22.570610046,0.5655135512,,0.5655135512,,,,,,,,23.337985992,,,280.09439087,463973.40625,6591327.5,-255.0786133
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,280.2464,,,,9.875,,,20.130743027,0.5001225471,,0.5001225471,,,,,,,,20.361021042,,,280.24639893,463973.40625,6591327.5,-255.2305756
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,280.3984,,,,9.875,,,18.124322891,0.4328019619,,0.4328019619,,,,,,,,16.989999771,,,280.39840698,463973.40625,6591327.5,-255.3825531
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,280.5504,,,,9.875,,,17.582897186,0.3654693067,,0.3654693067,,,,,,,,16.147254944,,,280.55041504,463973.4375,6591327.5,-255.5345306
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,280.7024,,,,9.875,,,17.233228683,0.2981469929,,0.2981469929,,,,,,,,15.635287285,,,280.70239258,463973.4375,6591327.5,-255.6865082
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,280.8544,,,,9.875,,,17.752037048,0.3259425461,,0.3259425461,,,,,,,,15.12332058,,,280.85440063,463973.4375,6591327.5,-255.8384705
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,281.0064,,,,9.875,,,18.390457153,0.3668408394,,0.3668408394,,,,,,,,14.611255646,,,281.00640869,463973.4375,6591327.5,-255.990448
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,281.1584,,,,9.875,,,18.55074501,0.4077329636,,0.4077329636,,,,,,,,14.099274635,,,281.15838623,463973.4375,6591327.5,-256.1424255
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,281.3104,,,,9.875,,,18.641990662,0.4486240745,,0.4486240745,,,,,,,,13.58730793,,,281.31039429,463973.4375,6591327.5,-256.2943726
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,281.4624,,,,9.875,,,19.49883461,0.4895150959,,0.4895150959,,,,,,,,12.991602898,,,281.46240234,463973.4375,6591327.5,-256.4463806
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,281.6144,,,,9.875,,,20.471588135,0.5304062963,,0.5304062963,,,,,,,,12.383223534,,,281.6144104,463973.4375,6591327.5,-256.5983582
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,281.7664,,,,9.875,,,20.53909874,0.5712974072,,0.5712974072,,,,,,,,12.652997971,,,281.76638794,463973.4375,6591327.5,-256.7503357
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,281.9184,,,,9.875,,,20.463098526,0.6121954918,,0.6121954918,,,,,,,,13.061935425,,,281.918396,463973.4375,6591327.5,-256.9022827
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,282.0704,,,,9.875,,,20.347997665,0.6530877352,,0.6530877352,,,,,,,,13.470873833,,,282.07040405,463973.4375,6591327.5,-257.0542603
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,282.2224,,,,9.875,,,20.226417542,0.6939788461,,0.6939788461,,,,,,,,14.579367638,,,282.22241211,463973.4375,6591327.5,-257.2062378
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,282.3744,,,,9.875,,,20.752838135,0.7382719517,,0.7382719517,,,,,,,,22.082706451,,,282.37438965,463973.4375,6591327.5,-257.3582153
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,282.5264,,,,9.875,,,21.39125824,0.7831524611,,0.7831524611,,,,,,,,30.669837952,,,282.52639771,463973.4375,6591327.5,-257.5101929
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,282.6784,,,,9.875,,,22.248569489,0.8871952891,,0.8871952891,,,,,,,,30.940433502,,,282.67840576,463973.4375,6591327.5,-257.6621704
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,282.8304,,,,9.875,,,23.145393372,1.0018898249,,1.0018898249,,,,,,,,29.713699341,,,282.83041382,463973.4375,6591327.5,-257.8141479
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,282.9824,,,,9.875,,,24.938234329,1.0368006229,,1.0368006229,,,,,,,,27.965940475,,,282.98239136,463973.4375,6591327.5,-257.966095
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,283.1344,,,,9.875,,,26.899072647,1.0567481518,,1.0567481518,,,,,,,,26.120794296,,,283.13439941,463973.4375,6591327.5,-258.1180725
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,283.2864,,,,9.875,,,28.122087479,1.0307836533,,1.0307836533,,,,,,,,25.569574356,,,283.28640747,463973.4375,6591327.5,-258.27005
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,283.4384,,,,9.875,,,29.201330185,0.9958764911,,0.9958764911,,,,,,,,25.270370483,,,283.43838501,463973.4375,6591327.5,-258.4220276
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,283.5904,,,,9.875,,,27.348009109,1.0148831606,,1.0148831606,,,,,,,,29.292552948,,,283.59039307,463973.4375,6591327.5,-258.5740051
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,283.7424,,,,9.875,,,24.900751114,1.0448035002,,1.0448035002,,,,,,,,34.18951416,,,283.74240112,463973.4375,6591327.5,-258.7259827
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,283.8944,,,,9.875,,,23.948246002,1.0747238398,,1.0747238398,,,,,,,,37.829673767,,,283.89440918,463973.4375,6591327.5,-258.8779602
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,284.0464,,,,9.875,,,23.309843063,1.1046491861,,1.1046491861,,,,,,,,41.206241608,,,284.04638672,463973.4375,6591327.5,-259.0299377
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,284.1984,,,,9.875,,,22.571517944,1.200091958,,1.200091958,,,,,,,,44.582374573,,,284.19839478,463973.46875,6591327.5,-259.1818848
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,284.3504,,,,9.875,,,21.811498642,1.3097997904,,1.3097997904,,,,,,,,47.958385468,,,284.35040283,463973.46875,6591327.5,-259.3338623
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,284.5024,,,,9.875,,,21.386316299,1.4296789169,,1.4296789169,,,,,,,,49.328609467,,,284.50241089,463973.46875,6591327.5,-259.4858704
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,284.6544,,,,9.875,,,21.036737442,1.5518535376,,1.5518535376,,,,,,,,50.246162415,,,284.65438843,463973.46875,6591327.5,-259.6378479
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,284.8064,,,,9.875,,,21.192243576,1.6740281582,,1.6740281582,,,,,,,,49.926879883,,,284.80639648,463973.46875,6591327.5,-259.7897949
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,284.9584,,,,9.875,,,21.465824127,1.7962027788,,1.7962027788,,,,,,,,49.318500519,,,284.95840454,463973.46875,6591327.5,-259.9417725
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,285.1104,,,,9.875,,,24.481277466,1.4987032413,,1.4987032413,,,,,,,,48.452983856,,,285.1104126,463973.46875,6591327.5,-260.09375
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,285.2624,,,,9.875,,,28.15971756,1.0997498035,,1.0997498035,,,,,,,,47.525417328,,,285.26239014,463973.46875,6591327.5,-260.2457275
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,285.4144,,,,9.875,,,27.448328018,1.3551472425,,1.3551472425,,,,,,,,47.834739685,,,285.41439819,463973.46875,6591327.5,-260.3976746
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,285.5664,,,,9.875,,,25.63948822,1.7740316391,,1.7740316391,,,,,,,,48.453094482,,,285.56640625,463973.46875,6591327.5,-260.5496826
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,285.7184,,,,9.875,,,24.47095108,1.709395051,,1.709395051,,,,,,,,52.844497681,,,285.71841431,463973.46875,6591327.5,-260.7016602
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,285.8704,,,,9.875,,,23.467712402,1.5198997259,,1.5198997259,,,,,,,,58.210208893,,,285.87039185,463973.46875,6591327.5,-260.8536072
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,286.0224,,,,9.875,,,22.560516357,2.0626356602,,2.0626356602,,,,,,,,63.575920105,,,286.0223999,463973.46875,6591327.5,-261.0055847
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,286.1744,,,,9.875,,,21.678936005,2.8007864952,,2.8007864952,,,,,,,,68.942474365,,,286.17440796,463973.46875,6591327.5,-261.1575623
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,286.3264,,,,9.875,,,21.536333084,2.9326217175,,2.9326217175,,,,,,,,69.698425293,,,286.3263855,463973.46875,6591327.5,-261.3095398
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,286.4784,,,,9.875,,,21.597150803,2.8977148533,,2.8977148533,,,,,,,,69.186416626,,,286.47839355,463973.46875,6591327.5,-261.4614868
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,286.6304,,,,9.875,,,20.355512619,2.9327306747,,2.9327306747,,,,,,,,68.674407959,,,286.63040161,463973.46875,6591327.5,-261.6134644
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,286.7824,,,,9.875,,,18.74433136,2.9875845909,,2.9875845909,,,,,,,,67.367301941,,,286.78240967,463973.46875,6591327.5,-261.7654419
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,286.9344,,,,9.875,,,18.403158188,3.0925931931,,3.0925931931,,,,,,,,66.549179077,,,286.93438721,463973.46875,6591327.5,-261.9174194
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,287.0864,,,,9.875,,,18.433555603,3.2122745514,,3.2122745514,,,,,,,,65.940795898,,,287.08639526,463973.46875,6591327.5,-262.0693665
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,287.2384,,,,9.875,,,18.639175415,3.2476644516,,3.2476644516,,,,,,,,67.915519714,,,287.23840332,463973.46875,6591327.5,-262.221344
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,287.3904,,,,9.875,,,18.897596359,3.2576384544,,3.2576384544,,,,,,,,70.668205261,,,287.39041138,463973.5,6591327.5,-262.3733521
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,287.5424,,,,9.875,,,19.376369476,3.1952991486,,3.1952991486,,,,,,,,72.028045654,,,287.54238892,463973.5,6591327.5,-262.5253296
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,287.6944,,,,9.875,,,19.923604965,3.1105248928,,3.1105248928,,,,,,,,72.955619812,,,287.69439697,463973.5,6591327.5,-262.6772766
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,287.8464,,,,9.875,,,20.044534683,3.0559856892,,3.0559856892,,,,,,,,72.476852417,,,287.84640503,463973.5,6591327.5,-262.8292542
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,287.9984,,,,9.875,,,20.029350281,3.011105299,,3.011105299,,,,,,,,71.549324036,,,287.99841309,463973.5,6591327.5,-262.9812317
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,288.1504,,,,9.875,,,20.631906509,3.0825781822,,3.0825781822,,,,,,,,71.094772339,,,288.15039063,463973.5,6591327.5,-263.1332092
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,288.3024,,,,9.875,,,21.437561035,3.1922917366,,3.1922917366,,,,,,,,70.795570374,,,288.30239868,463973.5,6591327.5,-263.2851563
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,288.4544,,,,9.875,,,22.981565475,3.1864547729,,3.1864547729,,,,,,,,60.40296936,,,288.45440674,463973.5,6591327.5,-263.4371338
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,288.6064,,,,9.875,,,24.775144577,3.1415743828,,3.1415743828,,,,,,,,46.597667694,,,288.60641479,463973.5,6591327.5,-263.5891113
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,288.7584,,,,9.875,,,26.12884903,3.1300001144,,3.1300001144,,,,,,,,33.482227325,,,288.75839233,463973.5,6591327.5,-263.7410889
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,288.9104,,,,9.875,,,27.329689026,3.1300001144,,3.1300001144,,,,,,,,20.606515884,,,288.91040039,463973.5,6591327.5,-263.8930359
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,289.0624,,,,9.875,,,27.925701141,3.1446967125,,3.1446967125,,,,,,,,18.802753448,,,289.06240845,463973.5,6591327.5,-264.0450134
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,289.2144,,,,9.875,,,28.305702209,3.1646463871,,3.1646463871,,,,,,,,20.950366974,,,289.21438599,463973.5,6591327.5,-264.196991
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,289.3664,,,,9.875,,,28.018501282,3.1809456348,,3.1809456348,,,,,,,,23.097984314,,,289.36639404,463973.5,6591327.5,-264.348938
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,289.5184,,,,9.875,,,27.486499786,3.1959059238,,3.1959059238,,,,,,,,25.245597839,,,289.5184021,463973.5,6591327.5,-264.5009155
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,289.6704,,,,9.875,,,26.976594925,2.79433465,,2.79433465,,,,,,,,27.393527985,,,289.67041016,463973.5,6591327.5,-264.6528931
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,289.8224,,,,9.875,,,26.474941254,2.2358217239,,2.2358217239,,,,,,,,29.541259766,,,289.8223877,463973.5,6591327.5,-264.8048706
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,289.9744,,,,9.875,,,25.436264038,2.3244907856,,2.3244907856,,,,,,,,33.102039337,,,289.97439575,463973.5,6591327.5,-264.9568176
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,290.1264,,,,9.875,,,24.189846039,2.6635878086,,2.6635878086,,,,,,,,37.209102631,,,290.12640381,463973.5,6591327.5,-265.1088257
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,290.2784,,,,9.875,,,23.813898087,2.8670883179,,2.8670883179,,,,,,,,41.316165924,,,290.27841187,463973.5,6591327.5,-265.2608032
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,290.4304,,,,9.875,,,23.783506393,3.0166983604,,3.0166983604,,,,,,,,45.423229218,,,290.4303894,463973.5,6591327.5,-265.4127808
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,290.5824,,,,9.875,,,23.75308609,3.9564635754,,3.9564635754,,,,,,,,49.530288696,,,290.58239746,463973.53125,6591327.5,-265.5647278
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,290.7344,,,,9.875,,,23.722665787,5.2182822227,,5.2182822227,,,,,,,,53.637935638,,,290.73440552,463973.53125,6591327.5,-265.7167053
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,290.8864,,,,9.875,,,24.131807327,5.9101176262,,5.9101176262,,,,,,,,57.745239258,,,290.88641357,463973.53125,6591327.5,-265.8686829
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,291.0384,,,,9.875,,,24.724647522,6.3639092445,,6.3639092445,,,,,,,,61.852302551,,,291.03839111,463973.53125,6591327.5,-266.0206604
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,291.1904,,,,9.875,,,24.955699921,6.2241940498,,6.2241940498,,,,,,,,65.959365845,,,291.19039917,463973.53125,6591327.5,-266.1726074
Force_2020_all_wells_train_test_blind_hidden_final/25_8-5 S.las,25/8-5 S  Jotun,291.3424,,,,9.875,,,25.031700134,5.8302431107,,5.8302431107,,,,,,,,70.066429138,,,291.34240723,463973.53125,6591327.5,-266.324585
