source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,DCAL,RDEP,RSHA,RMED,RXO,SP,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,186.824,,,,36.0,,,,,,-4482.629883,,,,41.640686035,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,186.976,,,,36.0,,,,,,-4481.26709,,,,41.84249115,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,187.128,,,,36.0,,,,,,-4479.90332,,,,42.11825943,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,187.28,,,,36.0,,,,,,-4478.539551,,,,42.353290558,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,187.432,,,,36.0,,,,,,-4477.176758,,,,42.420955658,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,187.584,,,,36.0,,,,,,-4475.812988,,,,42.530509949,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,187.736,,,,36.0,,,,,,-4474.449219,,,,42.674610138,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,187.888,,,,36.0,,,,,,-4473.086426,,,,42.95324707,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,188.04,,,,36.0,,,,,,-4471.722656,,,,43.39862442,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,188.192,,,,36.0,,,,,,-4470.359375,,,,44.184993744,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,188.344,,,,36.0,,,,,,-4468.996094,,,,44.810894012,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,188.496,,,,36.0,,,,,,-4467.632324,,,,45.33511734,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,188.648,,,,36.0,,,,,,-4466.269043,,,,45.69631958,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,188.8,,,,36.0,,,,,,-4464.905762,,,,46.032398224,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,188.952,,,,36.0,,,,,,-4463.54248,,,,46.346115112,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,189.104,,,,36.0,,,,,,-4462.178711,,,,46.69083786,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,189.256,,,,36.0,,,,,,-4460.814941,,,,47.035163879,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,189.408,,,,36.0,,,,,,-4459.452148,,,,47.274848938,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,189.56,,,,36.0,,,,,,-4458.088379,,,,47.631515503,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,189.712,,,,36.0,,,,,,-4456.725098,,,,48.137241364,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,189.864,,,,36.0,,,,,,-4455.361816,,,,48.701629639,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,190.016,,,,36.0,,,,,,-4453.998047,,,,49.280158997,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,190.168,,,,36.0,,,,,,-4452.635254,,,,49.861434937,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,190.32,,,,36.0,,,,,,-4451.271484,,,,50.429325104,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,190.472,,,,36.0,,,,,,-4449.907715,,,,50.98223877,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,190.624,,,,36.0,,,,,,-4448.544922,,,,51.132011414,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,190.776,,,,36.0,,,,,,-4447.181152,,,,51.179420471,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,190.928,,,,36.0,,,,,,-4445.817871,,,,51.166461945,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,191.08,,,,36.0,,,,,,-4444.45459,,,,51.075023651,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,191.232,,,,36.0,,,,,,-4443.09082,,,,50.933345795,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,191.384,,,,36.0,,,,,,-4441.727539,,,,50.645267487,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,191.536,,,,36.0,,,,,,-4440.364258,,,,50.354240417,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,191.688,,,,36.0,,,,,,-4439.000488,,,,50.093299866,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,191.84,,,,36.0,,,,,,-4437.637207,,,,49.868595123,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,191.992,,,,36.0,,,,,,-4436.273926,,,,49.667533875,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,192.144,,,,36.0,,,,,,-4434.910645,,,,49.554973602,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,192.296,,,,36.0,,,,,,-4433.547363,,,,49.559123993,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,192.448,,,,36.0,,,,,,-4432.183594,,,,49.719249725,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,192.6,,,,36.0,,,,,,-4430.820313,,,,50.150856018,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,192.752,,,,36.0,,,,,,-4429.457031,,,,50.760780334,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,192.904,,,,36.0,,,,,,-4428.09375,,,,51.819633484,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,193.056,,,,36.0,,,,,,-4426.72998,,,,52.680347443,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,193.208,,,,36.0,,,,,,-4425.366699,,,,53.242530823,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,193.36,,,,36.0,,,,,,-4424.003418,,,,53.587741852,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,193.512,,,,36.0,,,,,,-4422.639648,,,,53.871513367,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,193.664,,,,36.0,,,,,,-4421.276367,,,,54.132774353,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,193.816,,,,36.0,,,,,,-4419.913086,,,,54.475013733,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,193.968,,,,36.0,,,,,,-4418.549316,,,,54.892948151,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,194.12,,,,36.0,,,,,,-4417.186523,,,,54.646095276,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,194.272,,,,36.0,,,,,,-4415.822754,,,,54.116344452,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,194.424,,,,36.0,,,,,,-4414.459473,,,,53.285495758,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,194.576,,,,36.0,,,,,,-4413.096191,,,,52.618179321,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,194.728,,,,36.0,,,,,,-4411.732422,,,,52.10515976,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,194.88,,,,36.0,,,,,,-4410.369629,,,,51.787811279,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,195.032,,,,36.0,,,,,,-4409.005859,,,,51.558452606,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,195.184,,,,36.0,,,,,,-4407.64209,,,,51.423271179,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,195.336,,,,36.0,,,,,,-4406.279297,,,,51.073097229,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,195.488,,,,36.0,,,,,,-4404.915527,,,,50.646099091,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,195.64,,,,36.0,,,,,,-4403.551758,,,,50.682613373,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,195.792,,,,36.0,,,,,,-4402.188965,,,,51.137302399,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,195.944,,,,36.0,,,,,,-4400.825195,,,,52.027839661,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,196.096,,,,36.0,,,,,,-4399.461914,,,,53.115581512,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,196.248,,,,36.0,,,,,,-4398.098633,,,,54.200645447,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,196.4,,,,36.0,,,,,,-4396.734863,,,,55.040290833,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,196.552,,,,36.0,,,,,,-4395.371582,,,,55.21452713,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,196.704,,,,36.0,,,,,,-4394.008301,,,,54.724819183,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,196.856,,,,36.0,,,,,,-4392.64502,,,,54.30847168,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,197.008,,,,36.0,,,,,,-4391.28125,,,,53.858592987,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,197.16,,,,36.0,,,,,,-4389.917969,,,,53.082683563,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,197.312,,,,36.0,,,,,,-4388.554688,,,,52.48443985,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,197.464,,,,36.0,,,,,,-4387.190918,,,,52.111766815,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,197.616,,,,36.0,,,,,,-4385.827637,,,,52.448032379,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,197.768,,,,36.0,,,,,,-4384.464355,,,,53.538219452,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,197.92,,,,36.0,,,,,,-4383.101074,,,,55.870807648,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,198.072,,,,36.0,,,,,,-4381.737793,,,,57.704925537,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,198.224,,,,36.0,,,,,,-4380.375,,,,58.927848816,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,198.376,,,,36.0,,,,,,-4379.010742,,,,59.516220093,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,198.528,,,,36.0,,,,,,-4377.647461,,,,60.122333527,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,198.68,,,,36.0,,,,,,-4376.283691,,,,61.021179199,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,198.832,,,,36.0,,,,,,-4374.92041,,,,61.964653015,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,198.984,,,,36.0,,,,,,-4373.557129,,,,62.88785553,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,199.136,,,,36.0,,,,,,-4372.193359,,,,63.792320251,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,199.288,,,,36.0,,,,,,-4370.830078,,,,64.670829773,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,199.44,,,,36.0,,,,,,-4369.466797,,,,65.519996643,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,199.592,,,,36.0,,,,,,-4368.103027,,,,66.011741638,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,199.744,,,,36.0,,,,,,-4366.739746,,,,66.468009949,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,199.896,,,,36.0,,,,,,-4365.376465,,,,67.464202881,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,200.048,,,,36.0,,,,,,-4364.013184,,,,68.988456726,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,200.2,,,,36.0,,,,,,-4362.650391,,,,70.893226624,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,200.352,,,,36.0,,,,,,-4361.286621,,,,74.278526306,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,200.504,,,,36.0,,,,,,-4359.922852,,,,77.765472412,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,200.656,,,,36.0,,,,,,-4358.55957,,,,79.933670044,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,200.808,,,,28.729188919,,,,,,-4357.196289,,,,81.609809875,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,200.96,,,,26.000001907,,,,,,-4355.833008,,,,83.229362488,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,201.112,,,,26.000001907,,,,,,-4354.469238,,,,84.665153503,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,201.264,,,,26.000001907,,,,,,-4353.105957,,,,85.876625061,,,,,,
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,201.416,,,,26.000001907,,3.1076717377,,,,-4351.742676,,,,86.760040283,,,201.41600037,469326.625,6628728.5,-179.4043732
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,201.568,,,,26.000001907,,3.2859060764,,,,-4350.378906,,,,87.411964417,,,201.56799316,469326.625,6628728.5,-179.5563507
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,201.72,,,,26.000001907,,3.5490105152,,,,-4349.015625,,,,87.928031921,,,201.72000122,469326.625,6628728.5,-179.708313
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,201.872,,,,26.000001907,,3.6736319065,,,,-4347.652344,,,,88.032066345,,,201.87199402,469326.625,6628728.5,-179.8602905
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,202.024,,,,26.000001907,,3.733648777,,,,-4346.289063,,,,87.892562866,,,202.02400208,469326.625,6628728.5,-180.0122528
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,202.176,,,,26.000001907,,3.7896826267,,,,-4344.92627,,,,87.606307983,,,202.17599487,469326.625,6628728.5,-180.1642303
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,202.328,,,,26.000001907,,3.8038954735,,,,-4343.562012,,,,87.761894226,,,202.32800293,469326.625,6628728.5,-180.3161926
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,202.48,,,,26.000001907,,3.7848498821,,,,-4342.19873,,,,88.289352417,,,202.47999573,469326.625,6628728.5,-180.4681854
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,202.632,,,,26.000001907,,3.7248387337,,,,-4340.834961,,,,89.140258789,,,202.63200378,469326.625,6628728.5,-180.6201477
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,202.784,,,,26.000001907,,3.6625044346,,,,-4339.47168,,,,89.899833679,,,202.78399658,469326.625,6628728.5,-180.7721252
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,202.936,,,,26.000001907,,3.6173853874,,,,-4338.108887,,,,90.394393921,,,202.93600464,469326.625,6628728.5,-180.9240875
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,203.088,,,,26.000001907,,3.529340744,,,,-4336.745117,,,,90.449920654,,,203.08799744,469326.625,6628728.5,-181.0760651
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,203.24,,,,26.000001907,,3.4292221069,,,,-4335.381348,,,,90.249336243,,,203.24000549,469326.625,6628728.5,-181.2280273
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,203.392,,,,26.000001907,,3.3812541962,,,,-4334.018066,,,,89.855140686,,,203.39199829,469326.65625,6628728.5,-181.3800049
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,203.544,,,,26.000001907,,3.5885417461,,,,-4332.654297,,,,89.258071899,,,203.54400635,469326.65625,6628728.5,-181.5319824
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,203.696,,,,26.000001907,,4.0537199974,,,,-4331.291016,,,,88.513458252,,,203.69599915,469326.65625,6628728.5,-181.68396
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,203.848,,,,26.000001907,,4.30052948,,,,-4329.927734,,,,88.015312195,,,203.8480072,469326.65625,6628728.5,-181.8359222
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,204.0,,,,26.000001907,,4.3501057625,,,,-4328.564941,,,,87.627418518,,,204.0,469326.65625,6628728.5,-181.9878845
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,204.152,,,,26.000001907,,4.2713241577,,,,-4327.202148,,,,87.1508255,,,204.1519928,469326.65625,6628728.5,-182.1398315
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,204.304,,,,26.000001907,,4.0956625938,,,,-4325.837891,,,,86.631851196,,,204.30400085,469326.65625,6628728.5,-182.2917633
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,204.456,,,,26.000001907,,3.880259037,,,,-4324.474609,,,,86.119529724,,,204.45599365,469326.65625,6628728.5,-182.4437103
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,204.608,,,,26.000001907,,3.769951582,,,,-4323.11084,,,,85.839393616,,,204.60800171,469326.65625,6628728.5,-182.5956421
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,204.76,,,,26.000001907,,3.7566142082,,,,-4321.74707,,,,85.64781189,,,204.75999451,469326.6875,6628728.5,-182.7475891
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,204.912,,,,26.000001907,,3.8226501942,,,,-4320.384277,,,,85.401016235,,,204.91200256,469326.6875,6628728.5,-182.8995209
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,205.064,,,,26.000001907,,3.9311523438,,,,-4319.020996,,,,85.146453857,,,205.06399536,469326.6875,6628728.5,-183.0514526
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,205.216,,,,26.000001907,,4.0445513725,,,,-4317.657715,,,,84.901702881,,,205.21600342,469326.6875,6628728.5,-183.2033844
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,205.368,,,,26.000001907,,4.1293773651,,,,-4316.293945,,,,84.655097961,,,205.36799622,469326.6875,6628728.5,-183.3553314
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,205.52,,,,26.000001907,,4.1811151505,,,,-4314.930176,,,,84.187232971,,,205.52000427,469326.6875,6628728.5,-183.5072632
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,205.672,,,,26.000001907,,4.2037153244,,,,-4313.567383,,,,83.366981506,,,205.67199707,469326.6875,6628728.5,-183.6592102
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,205.824,,,,26.000001907,,4.1516394615,,,,-4312.203613,,,,82.794433594,,,205.82400513,469326.71875,6628728.5,-183.811142
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,205.976,,,,26.000001907,,3.9611911774,,,,-4310.84082,,,,82.471557617,,,205.97599792,469326.71875,6628728.5,-183.963089
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,206.128,,,,26.000001907,,3.3603026867,,,,-4309.477539,,,,82.064620972,,,206.12800598,469326.71875,6628728.5,-184.1150055
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,206.28,,,,26.000001907,,2.7918591499,,,,-4308.113281,,,,81.711982727,,,206.27999878,469326.71875,6628728.5,-184.2669525
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,206.432,,,,26.000001907,,2.5368993282,,,,-4306.750488,,,,81.514556885,,,206.43200684,469326.71875,6628728.5,-184.4188843
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,206.584,,,,26.000001907,,2.480379343,,,,-4305.386719,,,,81.16444397,,,206.58399963,469326.71875,6628728.5,-184.5708313
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,206.736,,,,26.000001907,,2.4981155396,,,,-4304.022949,,,,80.899215698,,,206.73599243,469326.71875,6628728.5,-184.7227631
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,206.888,,,,26.000001907,,2.555031538,,,,-4302.660156,,,,81.317672729,,,206.88800049,469326.75,6628728.5,-184.8746948
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,207.04,,,,26.000001907,,2.618922472,,,,-4301.296387,,,,82.55280304,,,207.03999329,469326.75,6628728.5,-185.0266418
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,207.192,,,,26.000001907,,2.6712214947,,,,-4299.933594,,,,84.339477539,,,207.19200134,469326.75,6628728.5,-185.1785736
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,207.344,,,,26.000001907,,2.6752569675,,,,-4298.569824,,,,84.584396362,,,207.34399414,469326.75,6628728.5,-185.3305054
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,207.496,,,,26.000001907,,2.6568281651,,,,-4297.205566,,,,83.855155945,,,207.4960022,469326.75,6628728.5,-185.4824371
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,207.648,,,,26.000001907,,2.6503918171,,,,-4295.843262,,,,83.335601807,,,207.647995,469326.75,6628728.5,-185.6343842
Force_2020_all_wells_train_test_blind_hidden_final/25_2-13 T4.las,25/2-13 T4,207.8,,,,26.000001907,,2.6233227253,,,,-4294.479492,,,,82.889823914,,,207.80000305,469326.75,6628728.5,-185.7863159
