source_file,well_name,DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,DCAL,RDEP,RSHA,RMED,RXO,RMIC,SP,DTS,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,374.4784,,,,36.0,,0.6648871303,,1.0061832666,,,,,,,,52.493587494,,,374.47839355,520149.3125,6753026.5,-352.478302
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,374.6304,,,,36.0,,0.6688034534,,1.0031616688,,,,,,,,52.356781006,,,374.63040161,520149.3125,6753026.5,-352.6303101
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,374.7824,,,,36.0,,0.6813819408,,1.0013244152,,,,,,,,52.667415619,,,374.78240967,520149.3125,6753026.5,-352.7823181
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,374.9344,,,,36.0,,0.6877480149,,1.0251917839,,,,,,,,52.876300812,,,374.93438721,520149.3125,6753026.5,-352.9343262
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,375.0864,,,,36.0,,0.6887506247,,1.0203472376,,,,,,,,52.713153839,,,375.08639526,520149.3125,6753026.5,-353.0863342
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,375.2384,,,,36.0,,0.7209637761,,1.0431480408,,,,,,,,51.24225235,,,375.23840332,520149.3125,6753026.5,-353.2383118
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,375.3904,,,,36.0,,0.7161018252,,1.0614136457,,,,,,,,50.96516037,,,375.39041138,520149.3125,6753026.5,-353.3903198
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,375.5424,,,,36.0,,0.7045354247,,1.0526535511,,,,,,,,51.647407532,,,375.54241943,520149.3125,6753026.5,-353.5423279
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,375.6944,,,,36.0,,0.7004015446,,1.0432047844,,,,,,,,52.600818634,,,375.69442749,520149.3125,6753026.5,-353.6943359
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,375.8464,,,,36.0,,0.711571157,,1.0321558714,,,,,,,,55.080764771,,,375.84640503,520149.3125,6753026.5,-353.8463135
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,375.9984,,,,36.0,,0.7354388833,,1.0102828741,,,,,,,,55.826488495,,,375.99838257,520149.3125,6753026.5,-353.998291
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,376.1504,,,,36.0,,0.7396007776,,0.9742141962,,,,,,,,56.226016998,,,376.15039063,520149.3125,6753026.5,-354.1502991
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,376.3024,,,,36.0,,0.7278921008,,0.9983196259,,,,,,,,56.418048859,,,376.30239868,520149.3125,6753026.5,-354.3023071
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,376.4544,,,,36.0,,0.7148960829,,1.053628087,,,,,,,,55.038639069,,,376.45440674,520149.3125,6753026.5,-354.4543152
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,376.6064,,,,36.0,,0.7129999995,,1.0662118196,,,,,,,,54.797000885,,,376.60641479,520149.3125,6753026.5,-354.6062927
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,376.7584,,,,36.0,,0.7129999995,,1.0686802864,,,,,,,,52.668251038,,,376.75839233,520149.3125,6753026.5,-354.7583008
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,376.9104,,,,36.0,,0.7144367099,,1.058773756,,,,,,,,51.406204224,,,376.91040039,520149.3125,6753026.5,-354.9103088
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,377.0624,,,,36.0,,0.7157952785,,1.0519291162,,,,,,,,51.817070007,,,377.06240845,520149.3125,6753026.5,-355.0623169
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,377.2144,,,,36.0,,0.7242309451,,1.092238903,,,,,,,,52.798332214,,,377.21438599,520149.3125,6753026.5,-355.2142944
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,377.3664,,,,36.0,,0.7260512114,,1.0799217224,,,,,,,,54.158946991,,,377.36639404,520149.3125,6753026.5,-355.366272
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,377.5184,,,,36.0,,0.7284370065,,1.0795054436,,,,,,,,54.789958954,,,377.5184021,520149.3125,6753026.5,-355.51828
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,377.6704,,,,36.0,,0.7298152447,,1.082529664,,,,,,,,55.151885986,,,377.67041016,520149.3125,6753026.5,-355.6702881
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,377.8224,,,,36.0,,0.739869833,,1.1002514362,,,,,,,,54.949398041,,,377.8223877,520149.3125,6753026.5,-355.8222961
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,377.9744,,,,36.0,,0.7576913238,,1.0907371044,,,,,,,,53.69883728,,,377.97439575,520149.3125,6753026.5,-355.9742737
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,378.1264,,,,36.0,,0.7680052519,,1.0959118605,,,,,,,,53.448001862,,,378.12640381,520149.3125,6753026.5,-356.1262817
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,378.2784,,,,36.0,,0.7717180848,,1.1173987389,,,,,,,,55.505912781,,,378.27841187,520149.3125,6753026.5,-356.2782898
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,378.4304,,,,36.0,,0.7763763666,,1.1370952129,,,,,,,,58.204967499,,,378.43041992,520149.3125,6753026.5,-356.4302979
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,378.5824,,,,36.0,,0.7803202271,,1.1404184103,,,,,,,,58.702999115,,,378.58239746,520149.3125,6753026.5,-356.5822754
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,378.7344,,,,36.0,,0.7948319912,,1.1010193825,,,,,,,,61.623184204,,,378.73440552,520149.3125,6753026.5,-356.7342529
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,378.8864,,,,36.0,,0.7911874056,,1.1195747852,,,,,,,,62.960285187,,,378.88638306,520149.3125,6753026.5,-356.886261
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,379.0384,,,,36.0,,0.7834561467,,1.1260000467,,,,,,,,62.406223297,,,379.03839111,520149.3125,6753026.5,-357.038269
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,379.1904,,,,36.0,,0.7821611166,,1.1166530848,,,,,,,,61.051898956,,,379.19039917,520149.3125,6753026.5,-357.1902771
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,379.3424,,,,36.0,,0.7989054918,,1.1356835365,,,,,,,,59.696201324,,,379.34240723,520149.3125,6753026.5,-357.3422546
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,379.4944,,,,36.0,,0.8017992377,,1.1549892426,,,,,,,,60.031990051,,,379.49441528,520149.3125,6753026.5,-357.4942627
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,379.6464,,,,36.0,,0.8033351898,,1.1566648483,,,,,,,,60.823310852,,,379.64639282,520149.3125,6753026.5,-357.6462708
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,379.7984,,,,36.0,,0.7968015671,,1.1351251602,,,,,,,,61.754234314,,,379.79840088,520149.3125,6753026.5,-357.7982788
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,379.9504,,,,36.0,,0.7950000167,,1.1164627075,,,,,,,,62.874645233,,,379.95037842,520149.3125,6753026.5,-357.9502563
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,380.1024,,,,36.0,,0.7938939929,,1.1168711185,,,,,,,,63.116001129,,,380.10238647,520149.3125,6753026.5,-358.1022339
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,380.2544,,,,36.0,,0.7922614217,,1.1384512186,,,,,,,,62.176631927,,,380.25439453,520149.3125,6753026.5,-358.2542419
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,380.4064,,,,36.0,,0.802965343,,1.1359952688,,,,,,,,60.455467224,,,380.40640259,520149.3125,6753026.5,-358.40625
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,380.5584,,,,36.0,,0.8083464503,,1.1433422565,,,,,,,,58.918880463,,,380.55841064,520149.3125,6753026.5,-358.5582581
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,380.7104,,,,36.0,,0.8152362108,,1.1451425552,,,,,,,,57.312103271,,,380.71038818,520149.3125,6753026.5,-358.7102356
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,380.8624,,,,36.0,,0.8169999719,,1.141870141,,,,,,,,55.130599976,,,380.86239624,520149.3125,6753026.5,-358.8622437
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,381.0144,,,,36.0,,0.8177742958,,1.1410000324,,,,,,,,54.553249359,,,381.0144043,520149.3125,6753026.5,-359.0142517
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,381.1664,,,,36.0,,0.8165338635,,1.1372189522,,,,,,,,53.988353729,,,381.16641235,520149.3125,6753026.5,-359.1662598
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,381.3184,,,,36.0,,0.8370944858,,1.1437134743,,,,,,,,53.211547852,,,381.31842041,520149.3125,6753026.5,-359.3182373
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,381.4704,,,,36.0,,0.8538230658,,1.1084462404,,,,,,,,53.45848465,,,381.47039795,520149.3125,6753026.5,-359.4702148
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,381.6224,,,,36.0,,0.8476054668,,1.1233503819,,,,,,,,54.325519562,,,381.62240601,520149.3125,6753026.5,-359.6222229
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,381.7744,,,,36.0,,0.8428732157,,1.1377415657,,,,,,,,55.177909851,,,381.77438354,520149.3125,6753026.5,-359.774231
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,381.9264,,,,36.0,,0.8119587898,,1.1072349548,,,,,,,,55.262496948,,,381.9263916,520149.3125,6753026.5,-359.9262085
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,382.0784,,,,36.0,,0.7948921323,,1.1049882174,,,,,,,,55.22700119,,,382.07839966,520149.3125,6753026.5,-360.0782166
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,382.2304,,,,36.0,,0.7866997123,,1.1088052988,,,,,,,,55.61870575,,,382.23040771,520149.3125,6753026.5,-360.2302246
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,382.3824,,,,36.0,,0.8293889761,,1.1533385515,,,,,,,,55.529312134,,,382.38241577,520149.3125,6753026.5,-360.3822327
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,382.5344,,,,36.0,,0.8507826924,,1.1739842892,,,,,,,,55.545269012,,,382.53442383,520149.3125,6753026.5,-360.5342407
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,382.6864,,,,36.0,,0.8522545695,,1.1226289272,,,,,,,,55.753898621,,,382.68640137,520149.3125,6753026.5,-360.6862183
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,382.8384,,,,36.0,,0.8505144715,,1.086350441,,,,,,,,57.459518433,,,382.83837891,520149.3125,6753026.5,-360.8381958
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,382.9904,,,,36.0,,0.8618425131,,1.0889078379,,,,,,,,58.440525055,,,382.99038696,520149.3125,6753026.5,-360.9902039
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,383.1424,,,,36.0,,0.8763254285,,1.1066031456,,,,,,,,58.678668976,,,383.14239502,520149.3125,6753026.5,-361.1422119
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,383.2944,,,,36.0,,0.8885984421,,1.1076109409,,,,,,,,58.717147827,,,383.29440308,520149.3125,6753026.5,-361.2941895
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,383.4464,,,,36.0,,0.8938968778,,1.1127637625,,,,,,,,57.488765717,,,383.44641113,520149.3125,6753026.5,-361.4461975
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,383.5984,,,,36.0,,0.8925839663,,1.1117706299,,,,,,,,57.039001465,,,383.59838867,520149.3125,6753026.5,-361.5982056
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,383.7504,,,,36.0,,0.8970346451,,1.1143532991,,,,,,,,55.089824677,,,383.75039673,520149.3125,6753026.5,-361.7502136
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,383.9024,,,,36.0,,0.8966094255,,1.1200015545,,,,,,,,53.301086426,,,383.90240479,520149.3125,6753026.5,-361.9022217
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,384.0544,,,,36.0,,0.8944729567,,1.1175580025,,,,,,,,52.631217957,,,384.05441284,520149.3125,6753026.5,-362.0541992
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,384.2064,,,,36.0,,0.9052188993,,1.0857234001,,,,,,,,52.597759247,,,384.20639038,520149.3125,6753026.5,-362.2061768
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,384.3584,,,,36.0,,0.9051575065,,1.0737566948,,,,,,,,51.677021027,,,384.35839844,520149.3125,6753026.5,-362.3581848
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,384.5104,,,,36.0,,0.9188205004,,1.0610637665,,,,,,,,51.059272766,,,384.51040649,520149.3125,6753026.5,-362.5101929
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,384.6624,,,,36.0,,0.9350291491,,1.0331677198,,,,,,,,51.326179504,,,384.66238403,520149.3125,6753026.5,-362.6621704
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,384.8144,,,,36.0,,0.9429268241,,1.0672701597,,,,,,,,54.050693512,,,384.81439209,520149.34375,6753026.5,-362.8141785
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,384.9664,,,,36.0,,0.966034174,,1.121037364,,,,,,,,55.352874756,,,384.96640015,520149.34375,6753026.5,-362.966156
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,385.1184,,,,36.0,,0.9683175683,,1.1270666122,,,,,,,,56.347332001,,,385.1184082,520149.34375,6753026.5,-363.1181641
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,385.2704,,,,36.0,,0.9743999839,,1.1193054914,,,,,,,,59.638572693,,,385.27041626,520149.34375,6753026.5,-363.2701416
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,385.4224,,,,36.0,,0.975407362,,1.1210907698,,,,,,,,64.318656921,,,385.42242432,520149.34375,6753026.5,-363.4221497
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,385.5744,,,,36.0,,0.9678010345,,1.1180094481,,,,,,,,65.804000854,,,385.57440186,520149.34375,6753026.5,-363.5741577
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,385.7264,,,,36.0,,0.9604267478,,1.1134362221,,,,,,,,65.49634552,,,385.72637939,520149.34375,6753026.5,-363.7261353
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,385.8784,,,,36.0,,0.9497023821,,1.1123000383,,,,,,,,65.015548706,,,385.87838745,520149.34375,6753026.5,-363.8781128
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,386.0304,,,,36.0,,0.9473128915,,1.1148444414,,,,,,,,63.47467041,,,386.03039551,520149.34375,6753026.5,-364.0301208
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,386.1824,,,,36.0,,0.9363543391,,1.1029843092,,,,,,,,60.751522064,,,386.18240356,520149.34375,6753026.5,-364.1820984
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,386.3344,,,,36.0,,0.9394619465,,1.0942021608,,,,,,,,54.629264832,,,386.33441162,520149.34375,6753026.5,-364.3341064
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,386.4864,,,,36.0,,0.9288524985,,1.0861700773,,,,,,,,50.71478653,,,386.48638916,520149.34375,6753026.5,-364.4861145
Force_2020_all_wells_train_test_blind_hidden_final/31_2-19 S.las,31/2-19 S,386.6384,,,,36.0,,0.9255889654,,1.0800205469,,,,,,,,48.376804352,,,386.63839722,520149.34375,6753026.5,-364.638092
